combination_id,product_name,Size,Material,Printed Side,Quantity,Printing Time,price,total_price,unit_price,qty_pieces,turnaround_days,Size_id,Material_id,Printed Side_id,Quantity_id,Printing Time_id,timestamp,notes
1,Business Card Magnets,"1.75"" x 3.5"" (Slim)",17 pt. Magnet High Gloss (UV),Front Only,25,6 Business Days,$20.00,$20.00,0.00000,0,0,66314,2488,1769,1772,1909,2025-09-01T17:45:43.881953,Extracted using real API endpoints
2,Business Card Magnets,"1.75"" x 3.5"" (Slim)",17 pt. Magnet High Gloss (UV),Front Only,25,4 Business Days,$20.00,$20.00,0.00000,0,0,66314,2488,1769,1772,1792,2025-09-01T17:45:44.501848,Extracted using real API endpoints
3,Business Card Magnets,"1.75"" x 3.5"" (Slim)",17 pt. Magnet High Gloss (UV),Front Only,50,6 Business Days,$20.00,$20.00,0.00000,0,0,66314,2488,1769,1773,1909,2025-09-01T17:45:45.118213,Extracted using real API endpoints
4,Business Card Magnets,"1.75"" x 3.5"" (Slim)",17 pt. Magnet High Gloss (UV),Front Only,50,4 Business Days,$20.00,$20.00,0.00000,0,0,66314,2488,1769,1773,1792,2025-09-01T17:45:45.452957,Extracted using real API endpoints
5,Business Card Magnets,"1.75"" x 3.5"" (Slim)",17 pt. Magnet High Gloss (UV),Front Only,75,6 Business Days,$20.00,$20.00,0.00000,0,0,66314,2488,1769,18464,1909,2025-09-01T17:45:46.078020,Extracted using real API endpoints
6,Business Card Magnets,"1.75"" x 3.5"" (Slim)",17 pt. Magnet High Gloss (UV),Front Only,75,4 Business Days,$20.00,$20.00,0.00000,0,0,66314,2488,1769,18464,1792,2025-09-01T17:45:46.686161,Extracted using real API endpoints
7,Business Card Magnets,"1.75"" x 3.5"" (Slim)",17 pt. Magnet High Gloss (UV),Front Only,100,6 Business Days,$20.00,$20.00,0.00000,0,0,66314,2488,1769,1774,1909,2025-09-01T17:45:47.315925,Extracted using real API endpoints
8,Business Card Magnets,"1.75"" x 3.5"" (Slim)",17 pt. Magnet High Gloss (UV),Front Only,100,4 Business Days,$20.00,$20.00,0.00000,0,0,66314,2488,1769,1774,1792,2025-09-01T17:45:47.942186,Extracted using real API endpoints
9,Business Card Magnets,"1.75"" x 3.5"" (Slim)",17 pt. Magnet High Gloss (UV),Front Only,150,6 Business Days,$20.00,$20.00,0.00000,0,0,66314,2488,1769,1945,1909,2025-09-01T17:45:48.279911,Extracted using real API endpoints
10,Business Card Magnets,"1.75"" x 3.5"" (Slim)",17 pt. Magnet High Gloss (UV),Front Only,150,4 Business Days,$20.00,$20.00,0.00000,0,0,66314,2488,1769,1945,1792,2025-09-01T17:45:48.602188,Extracted using real API endpoints
11,Business Card Magnets,"1.75"" x 3.5"" (Slim)",17 pt. Magnet High Gloss (UV),Front Only,200,6 Business Days,$20.00,$20.00,0.00000,0,0,66314,2488,1769,1946,1909,2025-09-01T17:45:48.932858,Extracted using real API endpoints
12,Business Card Magnets,"1.75"" x 3.5"" (Slim)",17 pt. Magnet High Gloss (UV),Front Only,200,4 Business Days,$20.00,$20.00,0.00000,0,0,66314,2488,1769,1946,1792,2025-09-01T17:45:49.264916,Extracted using real API endpoints
13,Business Card Magnets,"1.75"" x 3.5"" (Slim)",17 pt. Magnet High Gloss (UV),Front Only,250,6 Business Days,$20.00,$20.00,0.00000,0,0,66314,2488,1769,1776,1909,2025-09-01T17:45:49.602692,Extracted using real API endpoints
14,Business Card Magnets,"1.75"" x 3.5"" (Slim)",17 pt. Magnet High Gloss (UV),Front Only,250,4 Business Days,$20.00,$20.00,0.00000,0,0,66314,2488,1769,1776,1792,2025-09-01T17:45:50.232971,Extracted using real API endpoints
15,Business Card Magnets,"1.75"" x 3.5"" (Slim)",17 pt. Magnet High Gloss (UV),Front Only,500,6 Business Days,$20.00,$20.00,0.00000,0,0,66314,2488,1769,1777,1909,2025-09-01T17:45:50.566734,Extracted using real API endpoints
16,Business Card Magnets,"1.75"" x 3.5"" (Slim)",17 pt. Magnet High Gloss (UV),Front Only,500,4 Business Days,$20.00,$20.00,0.00000,0,0,66314,2488,1769,1777,1792,2025-09-01T17:45:51.211769,Extracted using real API endpoints
17,Business Card Magnets,"1.75"" x 3.5"" (Slim)",17 pt. Magnet High Gloss (UV),Front Only,"1,000",6 Business Days,$20.00,$20.00,0.00000,0,0,66314,2488,1769,1778,1909,2025-09-01T17:45:51.552521,Extracted using real API endpoints
18,Business Card Magnets,"1.75"" x 3.5"" (Slim)",17 pt. Magnet High Gloss (UV),Front Only,"1,000",4 Business Days,$20.00,$20.00,0.00000,0,0,66314,2488,1769,1778,1792,2025-09-01T17:45:52.178969,Extracted using real API endpoints
19,Business Card Magnets,"1.75"" x 3.5"" (Slim)",17 pt. Magnet High Gloss (UV),Front Only,"1,500",6 Business Days,$20.00,$20.00,0.00000,0,0,66314,2488,1769,1779,1909,2025-09-01T17:45:52.800346,Extracted using real API endpoints
20,Business Card Magnets,"1.75"" x 3.5"" (Slim)",17 pt. Magnet High Gloss (UV),Front Only,"1,500",4 Business Days,$20.00,$20.00,0.00000,0,0,66314,2488,1769,1779,1792,2025-09-01T17:45:53.145189,Extracted using real API endpoints
21,Business Card Magnets,"1.75"" x 3.5"" (Slim)",17 pt. Magnet High Gloss (UV),Front Only,"2,000",6 Business Days,$20.00,$20.00,0.00000,0,0,66314,2488,1769,1780,1909,2025-09-01T17:45:53.482288,Extracted using real API endpoints
22,Business Card Magnets,"1.75"" x 3.5"" (Slim)",17 pt. Magnet High Gloss (UV),Front Only,"2,000",4 Business Days,$20.00,$20.00,0.00000,0,0,66314,2488,1769,1780,1792,2025-09-01T17:45:54.093788,Extracted using real API endpoints
23,Business Card Magnets,"1.75"" x 3.5"" (Slim)",17 pt. Magnet High Gloss (UV),Front Only,"2,500",6 Business Days,$20.00,$20.00,0.00000,0,0,66314,2488,1769,1781,1909,2025-09-01T17:45:54.737160,Extracted using real API endpoints
24,Business Card Magnets,"1.75"" x 3.5"" (Slim)",17 pt. Magnet High Gloss (UV),Front Only,"2,500",4 Business Days,$20.00,$20.00,0.00000,0,0,66314,2488,1769,1781,1792,2025-09-01T17:45:55.358990,Extracted using real API endpoints
25,Business Card Magnets,"1.75"" x 3.5"" (Slim)",17 pt. Magnet High Gloss (UV),Front Only,"3,000",6 Business Days,$20.00,$20.00,0.00000,0,0,66314,2488,1769,1782,1909,2025-09-01T17:45:55.696608,Extracted using real API endpoints
26,Business Card Magnets,"1.75"" x 3.5"" (Slim)",17 pt. Magnet High Gloss (UV),Front Only,"3,000",4 Business Days,$20.00,$20.00,0.00000,0,0,66314,2488,1769,1782,1792,2025-09-01T17:45:56.039697,Extracted using real API endpoints
27,Business Card Magnets,"1.75"" x 3.5"" (Slim)",17 pt. Magnet High Gloss (UV),Front Only,"4,000",6 Business Days,$20.00,$20.00,0.00000,0,0,66314,2488,1769,1784,1909,2025-09-01T17:45:56.373025,Extracted using real API endpoints
28,Business Card Magnets,"1.75"" x 3.5"" (Slim)",17 pt. Magnet High Gloss (UV),Front Only,"4,000",4 Business Days,$20.00,$20.00,0.00000,0,0,66314,2488,1769,1784,1792,2025-09-01T17:45:56.707736,Extracted using real API endpoints
29,Business Card Magnets,"1.75"" x 3.5"" (Slim)",17 pt. Magnet High Gloss (UV),Front Only,"5,000",6 Business Days,$20.00,$20.00,0.00000,0,0,66314,2488,1769,1786,1909,2025-09-01T17:45:57.333922,Extracted using real API endpoints
30,Business Card Magnets,"1.75"" x 3.5"" (Slim)",17 pt. Magnet High Gloss (UV),Front Only,"5,000",4 Business Days,$20.00,$20.00,0.00000,0,0,66314,2488,1769,1786,1792,2025-09-01T17:45:57.991597,Extracted using real API endpoints
31,Business Card Magnets,"2"" x 2"" (Mini Square)",17 pt. Magnet High Gloss (UV),Front Only,25,6 Business Days,$20.00,$20.00,0.00000,0,0,66315,2488,1769,1772,1909,2025-09-01T17:45:58.317852,Extracted using real API endpoints
32,Business Card Magnets,"2"" x 2"" (Mini Square)",17 pt. Magnet High Gloss (UV),Front Only,25,4 Business Days,$20.00,$20.00,0.00000,0,0,66315,2488,1769,1772,1792,2025-09-01T17:45:59.534370,Extracted using real API endpoints
33,Business Card Magnets,"2"" x 2"" (Mini Square)",17 pt. Magnet High Gloss (UV),Front Only,50,6 Business Days,$20.00,$20.00,0.00000,0,0,66315,2488,1769,1773,1909,2025-09-01T17:45:59.860116,Extracted using real API endpoints
34,Business Card Magnets,"2"" x 2"" (Mini Square)",17 pt. Magnet High Gloss (UV),Front Only,50,4 Business Days,$20.00,$20.00,0.00000,0,0,66315,2488,1769,1773,1792,2025-09-01T17:46:00.215249,Extracted using real API endpoints
35,Business Card Magnets,"2"" x 2"" (Mini Square)",17 pt. Magnet High Gloss (UV),Front Only,75,6 Business Days,$20.00,$20.00,0.00000,0,0,66315,2488,1769,18464,1909,2025-09-01T17:46:00.550016,Extracted using real API endpoints
36,Business Card Magnets,"2"" x 2"" (Mini Square)",17 pt. Magnet High Gloss (UV),Front Only,75,4 Business Days,$20.00,$20.00,0.00000,0,0,66315,2488,1769,18464,1792,2025-09-01T17:46:00.896730,Extracted using real API endpoints
37,Business Card Magnets,"2"" x 2"" (Mini Square)",17 pt. Magnet High Gloss (UV),Front Only,100,6 Business Days,$20.00,$20.00,0.00000,0,0,66315,2488,1769,1774,1909,2025-09-01T17:46:01.238894,Extracted using real API endpoints
38,Business Card Magnets,"2"" x 2"" (Mini Square)",17 pt. Magnet High Gloss (UV),Front Only,100,4 Business Days,$20.00,$20.00,0.00000,0,0,66315,2488,1769,1774,1792,2025-09-01T17:46:01.574481,Extracted using real API endpoints
39,Business Card Magnets,"2"" x 2"" (Mini Square)",17 pt. Magnet High Gloss (UV),Front Only,150,6 Business Days,$20.00,$20.00,0.00000,0,0,66315,2488,1769,1945,1909,2025-09-01T17:46:02.348562,Extracted using real API endpoints
40,Business Card Magnets,"2"" x 2"" (Mini Square)",17 pt. Magnet High Gloss (UV),Front Only,150,4 Business Days,$20.00,$20.00,0.00000,0,0,66315,2488,1769,1945,1792,2025-09-01T17:46:02.684720,Extracted using real API endpoints
41,Business Card Magnets,"2"" x 2"" (Mini Square)",17 pt. Magnet High Gloss (UV),Front Only,200,6 Business Days,$20.00,$20.00,0.00000,0,0,66315,2488,1769,1946,1909,2025-09-01T17:46:03.017560,Extracted using real API endpoints
42,Business Card Magnets,"2"" x 2"" (Mini Square)",17 pt. Magnet High Gloss (UV),Front Only,200,4 Business Days,$20.00,$20.00,0.00000,0,0,66315,2488,1769,1946,1792,2025-09-01T17:46:03.650994,Extracted using real API endpoints
43,Business Card Magnets,"2"" x 2"" (Mini Square)",17 pt. Magnet High Gloss (UV),Front Only,250,6 Business Days,$20.00,$20.00,0.00000,0,0,66315,2488,1769,1776,1909,2025-09-01T17:46:03.988705,Extracted using real API endpoints
44,Business Card Magnets,"2"" x 2"" (Mini Square)",17 pt. Magnet High Gloss (UV),Front Only,250,4 Business Days,$20.00,$20.00,0.00000,0,0,66315,2488,1769,1776,1792,2025-09-01T17:46:04.324907,Extracted using real API endpoints
45,Business Card Magnets,"2"" x 2"" (Mini Square)",17 pt. Magnet High Gloss (UV),Front Only,500,6 Business Days,$20.00,$20.00,0.00000,0,0,66315,2488,1769,1777,1909,2025-09-01T17:46:04.667149,Extracted using real API endpoints
46,Business Card Magnets,"2"" x 2"" (Mini Square)",17 pt. Magnet High Gloss (UV),Front Only,500,4 Business Days,$20.00,$20.00,0.00000,0,0,66315,2488,1769,1777,1792,2025-09-01T17:46:05.009075,Extracted using real API endpoints
47,Business Card Magnets,"2"" x 2"" (Mini Square)",17 pt. Magnet High Gloss (UV),Front Only,"1,000",6 Business Days,$20.00,$20.00,0.00000,0,0,66315,2488,1769,1778,1909,2025-09-01T17:46:05.339398,Extracted using real API endpoints
48,Business Card Magnets,"2"" x 2"" (Mini Square)",17 pt. Magnet High Gloss (UV),Front Only,"1,000",4 Business Days,$20.00,$20.00,0.00000,0,0,66315,2488,1769,1778,1792,2025-09-01T17:46:05.669421,Extracted using real API endpoints
49,Business Card Magnets,"2"" x 2"" (Mini Square)",17 pt. Magnet High Gloss (UV),Front Only,"1,500",6 Business Days,$20.00,$20.00,0.00000,0,0,66315,2488,1769,1779,1909,2025-09-01T17:46:05.999198,Extracted using real API endpoints
50,Business Card Magnets,"2"" x 2"" (Mini Square)",17 pt. Magnet High Gloss (UV),Front Only,"1,500",4 Business Days,$20.00,$20.00,0.00000,0,0,66315,2488,1769,1779,1792,2025-09-01T17:46:06.770556,Extracted using real API endpoints
51,Business Card Magnets,"2"" x 2"" (Mini Square)",17 pt. Magnet High Gloss (UV),Front Only,"2,000",6 Business Days,$20.00,$20.00,0.00000,0,0,66315,2488,1769,1780,1909,2025-09-01T17:46:07.097970,Extracted using real API endpoints
52,Business Card Magnets,"2"" x 2"" (Mini Square)",17 pt. Magnet High Gloss (UV),Front Only,"2,000",4 Business Days,$20.00,$20.00,0.00000,0,0,66315,2488,1769,1780,1792,2025-09-01T17:46:07.428910,Extracted using real API endpoints
53,Business Card Magnets,"2"" x 2"" (Mini Square)",17 pt. Magnet High Gloss (UV),Front Only,"2,500",6 Business Days,$20.00,$20.00,0.00000,0,0,66315,2488,1769,1781,1909,2025-09-01T17:46:07.758865,Extracted using real API endpoints
54,Business Card Magnets,"2"" x 2"" (Mini Square)",17 pt. Magnet High Gloss (UV),Front Only,"2,500",4 Business Days,$20.00,$20.00,0.00000,0,0,66315,2488,1769,1781,1792,2025-09-01T17:46:08.093715,Extracted using real API endpoints
55,Business Card Magnets,"2"" x 2"" (Mini Square)",17 pt. Magnet High Gloss (UV),Front Only,"3,000",6 Business Days,$20.00,$20.00,0.00000,0,0,66315,2488,1769,1782,1909,2025-09-01T17:46:08.421695,Extracted using real API endpoints
56,Business Card Magnets,"2"" x 2"" (Mini Square)",17 pt. Magnet High Gloss (UV),Front Only,"3,000",4 Business Days,$20.00,$20.00,0.00000,0,0,66315,2488,1769,1782,1792,2025-09-01T17:46:09.365314,Extracted using real API endpoints
57,Business Card Magnets,"2"" x 2"" (Mini Square)",17 pt. Magnet High Gloss (UV),Front Only,"4,000",6 Business Days,$20.00,$20.00,0.00000,0,0,66315,2488,1769,1784,1909,2025-09-01T17:46:09.696822,Extracted using real API endpoints
58,Business Card Magnets,"2"" x 2"" (Mini Square)",17 pt. Magnet High Gloss (UV),Front Only,"4,000",4 Business Days,$20.00,$20.00,0.00000,0,0,66315,2488,1769,1784,1792,2025-09-01T17:46:10.023598,Extracted using real API endpoints
59,Business Card Magnets,"2"" x 2"" (Mini Square)",17 pt. Magnet High Gloss (UV),Front Only,"5,000",6 Business Days,$20.00,$20.00,0.00000,0,0,66315,2488,1769,1786,1909,2025-09-01T17:46:10.353344,Extracted using real API endpoints
60,Business Card Magnets,"2"" x 2"" (Mini Square)",17 pt. Magnet High Gloss (UV),Front Only,"5,000",4 Business Days,$20.00,$20.00,0.00000,0,0,66315,2488,1769,1786,1792,2025-09-01T17:46:10.697342,Extracted using real API endpoints
61,Business Card Magnets,"2"" x 3.5” (U.S. Standard)",17 pt. Magnet High Gloss (UV),Front Only,25,6 Business Days,$20.00,$20.00,0.00000,0,0,1910,2488,1769,1772,1909,2025-09-01T17:46:11.032819,Extracted using real API endpoints
62,Business Card Magnets,"2"" x 3.5” (U.S. Standard)",17 pt. Magnet High Gloss (UV),Front Only,25,4 Business Days,$20.00,$20.00,0.00000,0,0,1910,2488,1769,1772,1792,2025-09-01T17:46:11.758481,Extracted using real API endpoints
63,Business Card Magnets,"2"" x 3.5” (U.S. Standard)",17 pt. Magnet High Gloss (UV),Front Only,50,6 Business Days,$20.00,$20.00,0.00000,0,0,1910,2488,1769,1773,1909,2025-09-01T17:46:12.076684,Extracted using real API endpoints
64,Business Card Magnets,"2"" x 3.5” (U.S. Standard)",17 pt. Magnet High Gloss (UV),Front Only,50,4 Business Days,$20.00,$20.00,0.00000,0,0,1910,2488,1769,1773,1792,2025-09-01T17:46:12.403018,Extracted using real API endpoints
65,Business Card Magnets,"2"" x 3.5” (U.S. Standard)",17 pt. Magnet High Gloss (UV),Front Only,75,6 Business Days,$20.00,$20.00,0.00000,0,0,1910,2488,1769,18464,1909,2025-09-01T17:46:12.731071,Extracted using real API endpoints
66,Business Card Magnets,"2"" x 3.5” (U.S. Standard)",17 pt. Magnet High Gloss (UV),Front Only,75,4 Business Days,$20.00,$20.00,0.00000,0,0,1910,2488,1769,18464,1792,2025-09-01T17:46:13.063365,Extracted using real API endpoints
67,Business Card Magnets,"2"" x 3.5” (U.S. Standard)",17 pt. Magnet High Gloss (UV),Front Only,100,6 Business Days,$20.00,$20.00,0.00000,0,0,1910,2488,1769,1774,1909,2025-09-01T17:46:13.396335,Extracted using real API endpoints
68,Business Card Magnets,"2"" x 3.5” (U.S. Standard)",17 pt. Magnet High Gloss (UV),Front Only,100,4 Business Days,$20.00,$20.00,0.00000,0,0,1910,2488,1769,1774,1792,2025-09-01T17:46:13.725808,Extracted using real API endpoints
69,Business Card Magnets,"2"" x 3.5” (U.S. Standard)",17 pt. Magnet High Gloss (UV),Front Only,150,6 Business Days,$20.00,$20.00,0.00000,0,0,1910,2488,1769,1945,1909,2025-09-01T17:46:14.063552,Extracted using real API endpoints
70,Business Card Magnets,"2"" x 3.5” (U.S. Standard)",17 pt. Magnet High Gloss (UV),Front Only,150,4 Business Days,$20.00,$20.00,0.00000,0,0,1910,2488,1769,1945,1792,2025-09-01T17:46:14.387450,Extracted using real API endpoints
71,Business Card Magnets,"2"" x 3.5” (U.S. Standard)",17 pt. Magnet High Gloss (UV),Front Only,200,6 Business Days,$20.00,$20.00,0.00000,0,0,1910,2488,1769,1946,1909,2025-09-01T17:46:14.719977,Extracted using real API endpoints
72,Business Card Magnets,"2"" x 3.5” (U.S. Standard)",17 pt. Magnet High Gloss (UV),Front Only,200,4 Business Days,$20.00,$20.00,0.00000,0,0,1910,2488,1769,1946,1792,2025-09-01T17:46:15.047531,Extracted using real API endpoints
73,Business Card Magnets,"2"" x 3.5” (U.S. Standard)",17 pt. Magnet High Gloss (UV),Front Only,250,6 Business Days,$20.00,$20.00,0.00000,0,0,1910,2488,1769,1776,1909,2025-09-01T17:46:15.377218,Extracted using real API endpoints
74,Business Card Magnets,"2"" x 3.5” (U.S. Standard)",17 pt. Magnet High Gloss (UV),Front Only,250,4 Business Days,$20.00,$20.00,0.00000,0,0,1910,2488,1769,1776,1792,2025-09-01T17:46:15.746912,Extracted using real API endpoints
75,Business Card Magnets,"2"" x 3.5” (U.S. Standard)",17 pt. Magnet High Gloss (UV),Front Only,500,6 Business Days,$20.00,$20.00,0.00000,0,0,1910,2488,1769,1777,1909,2025-09-01T17:46:16.083021,Extracted using real API endpoints
76,Business Card Magnets,"2"" x 3.5” (U.S. Standard)",17 pt. Magnet High Gloss (UV),Front Only,500,4 Business Days,$20.00,$20.00,0.00000,0,0,1910,2488,1769,1777,1792,2025-09-01T17:46:16.854748,Extracted using real API endpoints
77,Business Card Magnets,"2"" x 3.5” (U.S. Standard)",17 pt. Magnet High Gloss (UV),Front Only,"1,000",6 Business Days,$20.00,$20.00,0.00000,0,0,1910,2488,1769,1778,1909,2025-09-01T17:46:17.179799,Extracted using real API endpoints
