Size,Printed Side,Bundling,Printing Time,"1,000",10,"10,000",100,125,150,175,"2,000",200,25,250,"3,000","4,000","5,000",50,500,"6,000","7,000",75,"8,000","9,000"
"3.5"" x 5""",Front Only,None,3 Business Days,$55.95,$11.25,$263.44,$21.90,$24.59,$27.28,$29.97,$82.99,$32.67,$13.23,$48.93,$107.62,$130.65,$153.67,$16.52,$51.27,$175.62,$197.58,$19.21,$219.53,$241.48
"3.5"" x 5""",Front Only,Shrink Wrapping,3 Business Days,$894.81,$29.74,$8560.23,$114.97,$138.37,$161.78,$185.19,$1750.51,$208.60,$44.14,$266.29,$2603.80,$3455.48,$4307.17,$68.15,$475.80,$5157.78,$6008.39,$91.56,$6859.00,$7709.61
"3.5"" x 5""",Front and Back,None,3 Business Days,$84.28,$11.85,$380.03,$27.32,$31.21,$35.11,$39.00,$121.57,$42.90,$14.73,$73.48,$156.46,$189.73,$223.01,$19.53,$77.08,$254.41,$285.82,$23.42,$317.22,$348.63
"3.5"" x 5""",Front and Back,Shrink Wrapping,3 Business Days,$923.14,$30.34,$8676.82,$120.38,$145.00,$169.61,$194.22,$1789.09,$218.83,$45.65,$290.84,$2652.63,$3514.57,$4376.51,$71.16,$501.61,$5236.57,$6096.63,$95.77,$6956.69,$7816.76
"4"" x 6""",Front Only,None,3 Business Days,$73.25,$13.80,$339.86,$37.76,$43.82,$49.87,$55.93,$106.94,$61.98,$18.25,$63.49,$140.33,$171.04,$200.42,$25.65,$66.74,$228.31,$256.19,$31.71,$284.08,$311.97
"4"" x 6""",Front Only,Shrink Wrapping,3 Business Days,$912.11,$32.29,$8636.65,$130.83,$157.60,$184.37,$211.14,$1774.46,$237.91,$49.16,$280.85,$2636.51,$3495.88,$4353.91,$77.29,$491.27,$5210.46,$6067.01,$104.06,$6923.55,$7780.10
"4"" x 6""",Front and Back,None,3 Business Days,$112.59,$15.15,$501.79,$49.96,$58.72,$67.48,$76.25,$160.52,$85.01,$21.63,$97.59,$208.15,$253.11,$296.72,$32.43,$102.59,$337.74,$378.75,$41.19,$419.76,$460.78
"4"" x 6""",Front and Back,Shrink Wrapping,3 Business Days,$951.45,$33.64,$8798.58,$143.02,$172.50,$201.98,$231.46,$1828.04,$260.94,$52.55,$314.95,$2704.33,$3577.94,$4450.22,$84.06,$527.12,$5319.89,$6189.56,$113.54,$7059.23,$7928.91
"4.25"" x 5.5""",Front Only,None,3 Business Days,$73.25,$11.64,$339.86,$23.62,$26.65,$29.68,$32.71,$106.94,$35.73,$13.86,$63.49,$140.33,$171.04,$200.42,$17.57,$66.74,$228.31,$256.19,$20.60,$284.08,$311.97
"4.25"" x 5.5""",Front Only,Shrink Wrapping,3 Business Days,$912.11,$30.13,$8636.65,$116.69,$140.43,$164.18,$187.92,$1774.46,$211.66,$44.78,$280.85,$2636.51,$3495.88,$4353.91,$69.20,$491.27,$5210.46,$6067.01,$92.94,$6923.55,$7780.10
"4.25"" x 5.5""",Front and Back,None,3 Business Days,$112.59,$12.32,$501.79,$29.72,$34.10,$38.48,$42.86,$160.52,$47.25,$15.56,$97.59,$208.15,$253.11,$296.72,$20.95,$102.59,$337.74,$378.75,$25.34,$419.76,$460.78
"4.25"" x 5.5""",Front and Back,Shrink Wrapping,3 Business Days,$951.45,$30.80,$8798.58,$122.78,$147.88,$172.98,$198.08,$1828.04,$223.18,$46.47,$314.95,$2704.33,$3577.94,$4450.22,$72.59,$527.12,$5319.89,$6189.56,$97.68,$7059.23,$7928.91
"4.25"" x 6""",Front Only,None,3 Business Days,$73.25,$13.80,$339.86,$37.76,$43.82,$49.87,$55.93,$106.94,$61.98,$18.25,$63.49,$140.33,$171.04,$200.42,$25.65,$66.74,$228.31,$256.19,$31.71,$284.08,$311.97
"4.25"" x 6""",Front Only,Shrink Wrapping,3 Business Days,$912.11,$32.29,$8636.65,$130.83,$157.60,$184.37,$211.14,$1774.46,$237.91,$49.16,$280.85,$2636.51,$3495.88,$4353.91,$77.29,$491.27,$5210.46,$6067.01,$104.06,$6923.55,$7780.10
"4.25"" x 6""",Front and Back,None,3 Business Days,$112.59,$15.15,$501.79,$49.96,$58.72,$67.48,$76.25,$160.52,$85.01,$21.63,$97.59,$208.15,$253.11,$296.72,$32.43,$102.59,$337.74,$378.75,$41.19,$419.76,$460.78
"4.25"" x 6""",Front and Back,Shrink Wrapping,3 Business Days,$951.45,$33.64,$8798.58,$143.02,$172.50,$201.98,$231.46,$1828.04,$260.94,$52.55,$314.95,$2704.33,$3577.94,$4450.22,$84.06,$527.12,$5319.89,$6189.56,$113.54,$7059.23,$7928.91
"5"" x 7""",Front Only,None,3 Business Days,$121.14,$13.80,$558.20,$37.76,$43.82,$49.87,$55.93,$175.36,$61.98,$18.25,$103.57,$226.89,$278.43,$329.97,$25.65,$109.43,$378.82,$423.67,$31.71,$468.51,$513.35
"5"" x 7""",Front Only,Shrink Wrapping,3 Business Days,$960.00,$32.29,$8854.99,$130.83,$157.60,$184.37,$211.14,$1842.87,$237.91,$49.16,$320.94,$2723.07,$3603.26,$4483.46,$77.29,$533.96,$5360.98,$6234.48,$104.06,$7107.98,$7981.48
"5"" x 7""",Front and Back,None,3 Business Days,$191.96,$15.15,$849.68,$49.96,$58.72,$67.48,$76.25,$271.80,$85.01,$21.63,$164.95,$348.97,$426.14,$503.31,$32.43,$173.95,$575.80,$644.27,$41.19,$712.74,$781.21
"5"" x 7""",Front and Back,Shrink Wrapping,3 Business Days,$1030.81,$33.64,$9146.47,$143.02,$172.50,$201.98,$231.46,$1939.32,$260.94,$52.55,$382.31,$2845.15,$3750.98,$4656.81,$84.06,$598.48,$5557.95,$6455.08,$113.54,$7352.21,$8249.34
