Size,Paper Type,Printed Side,Envelopes,Printing Time,"1,000",100,125,150,175,200,25,250,50,500,75
"3.5"" x 5""",14 pt. Cardstock Uncoated,Front Only,None,2 Business Days,$167.69,$30.92,$34.72,$38.52,$42.32,$46.12,$18.67,$53.71,$23.32,$91.70,$27.12
"3.5"" x 5""",14 pt. Cardstock Uncoated,Front Only,None,3 Business Days,$167.69,$30.92,$34.72,$38.52,$42.32,$46.12,$18.67,$53.71,$23.32,$91.70,$27.12
"3.5"" x 5""",14 pt. Cardstock Uncoated,Front and Back,None,2 Business Days,$236.53,$38.57,$44.07,$49.57,$55.07,$60.56,$20.80,$71.56,$27.57,$126.55,$33.07
"3.5"" x 5""",14 pt. Cardstock Uncoated,Front and Back,None,3 Business Days,$236.53,$38.57,$44.07,$49.57,$55.07,$60.56,$20.80,$71.56,$27.57,$126.55,$33.07
"3.5"" x 5""","14 pt. High Gloss (UV) Front, Uncoated Back",Front Only,None,2 Business Days,$87.01,$30.92,$34.72,$38.52,$42.32,$46.12,$16.64,$53.71,$21.59,$65.15,$26.55
"3.5"" x 5""","14 pt. High Gloss (UV) Front, Uncoated Back",Front Only,None,3 Business Days,$87.01,$30.92,$34.72,$38.52,$42.32,$46.12,$16.64,$53.71,$21.59,$65.15,$26.55
"3.5"" x 5""","14 pt. High Gloss (UV) Front, Uncoated Back",Front and Back,None,2 Business Days,$123.66,$38.57,$44.07,$49.57,$55.07,$60.56,$18.94,$71.56,$26.20,$94.47,$33.07
"3.5"" x 5""","14 pt. High Gloss (UV) Front, Uncoated Back",Front and Back,None,3 Business Days,$123.66,$38.57,$44.07,$49.57,$55.07,$60.56,$18.94,$71.56,$26.20,$94.47,$33.07
"3.5"" x 5""",17 pt. Cardstock Uncoated,Front Only,None,2 Business Days,$182.27,$69.97,$81.61,$93.25,$104.89,$116.53,$32.40,$123.51,$46.70,$147.82,$58.34
"3.5"" x 5""",17 pt. Cardstock Uncoated,Front Only,None,3 Business Days,$182.27,$69.97,$81.61,$93.25,$104.89,$116.53,$32.40,$123.51,$46.70,$147.82,$58.34
"3.5"" x 5""",17 pt. Cardstock Uncoated,Front and Back,None,2 Business Days,$244.06,$93.88,$110.83,$127.78,$144.73,$161.68,$39.04,$171.14,$59.98,$202.53,$76.93
"3.5"" x 5""",17 pt. Cardstock Uncoated,Front and Back,None,3 Business Days,$244.06,$93.88,$110.83,$127.78,$144.73,$161.68,$39.04,$171.14,$59.98,$202.53,$76.93
"4"" x 6""",14 pt. Cardstock Uncoated,Front Only,None,2 Business Days,$361.04,$53.31,$61.86,$70.41,$78.96,$87.51,$25.76,$104.60,$36.22,$190.08,$44.77
"4"" x 6""",14 pt. Cardstock Uncoated,Front Only,None,3 Business Days,$361.04,$53.31,$61.86,$70.41,$78.96,$87.51,$25.76,$104.60,$36.22,$190.08,$44.77
"4"" x 6""",14 pt. Cardstock Uncoated,Front and Back,None,2 Business Days,$515.94,$70.53,$82.90,$95.27,$107.64,$120.02,$30.54,$144.76,$45.78,$268.49,$58.15
"4"" x 6""",14 pt. Cardstock Uncoated,Front and Back,None,3 Business Days,$515.94,$70.53,$82.90,$95.27,$107.64,$120.02,$30.54,$144.76,$45.78,$268.49,$58.15
"4"" x 6""","14 pt. High Gloss (UV) Front, Uncoated Back",Front Only,None,2 Business Days,$113.76,$53.31,$61.86,$70.41,$78.96,$87.51,$23.90,$81.71,$35.04,$84.81,$44.77
"4"" x 6""","14 pt. High Gloss (UV) Front, Uncoated Back",Front Only,None,3 Business Days,$113.76,$53.31,$61.86,$70.41,$78.96,$87.51,$23.90,$81.71,$35.04,$84.81,$44.77
"4"" x 6""","14 pt. High Gloss (UV) Front, Uncoated Back",Front and Back,None,2 Business Days,$164.68,$70.53,$82.90,$95.27,$107.64,$120.02,$29.07,$122.44,$45.40,$125.54,$58.15
"4"" x 6""","14 pt. High Gloss (UV) Front, Uncoated Back",Front and Back,None,3 Business Days,$164.68,$70.53,$82.90,$95.27,$107.64,$120.02,$29.07,$122.44,$45.40,$125.54,$58.15
"4"" x 6""",17 pt. Cardstock Uncoated,Front Only,None,2 Business Days,$203.06,$76.73,$89.82,$102.91,$116.01,$129.10,$34.46,$136.96,$50.54,$164.31,$63.64
"4"" x 6""",17 pt. Cardstock Uncoated,Front Only,None,3 Business Days,$203.06,$76.73,$89.82,$102.91,$116.01,$129.10,$34.46,$136.96,$50.54,$164.31,$63.64
"4"" x 6""",17 pt. Cardstock Uncoated,Front and Back,None,2 Business Days,$272.58,$103.62,$122.69,$141.76,$160.83,$179.90,$41.93,$190.54,$65.48,$225.86,$84.55
"4"" x 6""",17 pt. Cardstock Uncoated,Front and Back,None,3 Business Days,$272.58,$103.62,$122.69,$141.76,$160.83,$179.90,$41.93,$190.54,$65.48,$225.86,$84.55
"4.25"" x 5.5""",14 pt. Cardstock Uncoated,Front Only,None,2 Business Days,$187.21,$33.35,$37.62,$41.90,$46.17,$50.45,$19.57,$58.99,$24.80,$101.73,$29.08
"4.25"" x 5.5""",14 pt. Cardstock Uncoated,Front Only,None,3 Business Days,$187.21,$33.35,$37.62,$41.90,$46.17,$50.45,$19.57,$58.99,$24.80,$101.73,$29.08
"4.25"" x 5.5""",14 pt. Cardstock Uncoated,Front and Back,None,2 Business Days,$264.66,$41.96,$48.14,$54.33,$60.51,$66.70,$21.96,$79.07,$29.58,$140.94,$35.77
"4.25"" x 5.5""",14 pt. Cardstock Uncoated,Front and Back,None,3 Business Days,$264.66,$41.96,$48.14,$54.33,$60.51,$66.70,$21.96,$79.07,$29.58,$140.94,$35.77
"4.25"" x 5.5""","14 pt. High Gloss (UV) Front, Uncoated Back",Front Only,None,2 Business Days,$113.76,$33.35,$37.62,$41.90,$46.17,$50.45,$17.53,$58.99,$23.10,$84.81,$28.67
"4.25"" x 5.5""","14 pt. High Gloss (UV) Front, Uncoated Back",Front Only,None,3 Business Days,$113.76,$33.35,$37.62,$41.90,$46.17,$50.45,$17.53,$58.99,$23.10,$84.81,$28.67
"4.25"" x 5.5""","14 pt. High Gloss (UV) Front, Uncoated Back",Front and Back,None,2 Business Days,$164.68,$41.96,$48.14,$54.33,$60.51,$66.70,$20.11,$79.07,$28.28,$125.54,$35.77
"4.25"" x 5.5""","14 pt. High Gloss (UV) Front, Uncoated Back",Front and Back,None,3 Business Days,$164.68,$41.96,$48.14,$54.33,$60.51,$66.70,$20.11,$79.07,$28.28,$125.54,$35.77
"4.25"" x 5.5""",17 pt. Cardstock Uncoated,Front Only,None,2 Business Days,$203.06,$76.73,$89.82,$102.91,$116.01,$129.10,$34.46,$136.96,$50.54,$164.31,$63.64
"4.25"" x 5.5""",17 pt. Cardstock Uncoated,Front Only,None,3 Business Days,$203.06,$76.73,$89.82,$102.91,$116.01,$129.10,$34.46,$136.96,$50.54,$164.31,$63.64
"4.25"" x 5.5""",17 pt. Cardstock Uncoated,Front and Back,None,2 Business Days,$272.58,$103.62,$122.69,$141.76,$160.83,$179.90,$41.93,$190.54,$65.48,$225.86,$84.55
"4.25"" x 5.5""",17 pt. Cardstock Uncoated,Front and Back,None,3 Business Days,$272.58,$103.62,$122.69,$141.76,$160.83,$179.90,$41.93,$190.54,$65.48,$225.86,$84.55
"4.5"" x 6.25""",14 pt. Cardstock Uncoated,Front Only,None,2 Business Days,$361.04,$53.31,$61.86,$70.41,$78.96,$87.51,$25.76,$104.60,$36.22,$190.08,$44.77
"4.5"" x 6.25""",14 pt. Cardstock Uncoated,Front Only,None,3 Business Days,$361.04,$53.31,$61.86,$70.41,$78.96,$87.51,$25.76,$104.60,$36.22,$190.08,$44.77
"4.5"" x 6.25""",14 pt. Cardstock Uncoated,Front and Back,None,2 Business Days,$515.94,$70.53,$82.90,$95.27,$107.64,$120.02,$30.54,$144.76,$45.78,$268.49,$58.15
"4.5"" x 6.25""",14 pt. Cardstock Uncoated,Front and Back,None,3 Business Days,$515.94,$70.53,$82.90,$95.27,$107.64,$120.02,$30.54,$144.76,$45.78,$268.49,$58.15
"4.5"" x 6.25""","14 pt. High Gloss (UV) Front, Uncoated Back",Front Only,None,2 Business Days,$137.75,$53.31,$61.86,$70.41,$78.96,$87.51,$23.90,$99.74,$35.04,$103.22,$44.77
"4.5"" x 6.25""","14 pt. High Gloss (UV) Front, Uncoated Back",Front Only,None,3 Business Days,$137.75,$53.31,$61.86,$70.41,$78.96,$87.51,$23.90,$99.74,$35.04,$103.22,$44.77
"4.5"" x 6.25""","14 pt. High Gloss (UV) Front, Uncoated Back",Front and Back,None,2 Business Days,$195.01,$70.53,$82.90,$95.27,$107.64,$120.02,$29.07,$144.76,$45.40,$149.04,$58.15
"4.5"" x 6.25""","14 pt. High Gloss (UV) Front, Uncoated Back",Front and Back,None,3 Business Days,$195.01,$70.53,$82.90,$95.27,$107.64,$120.02,$29.07,$144.76,$45.40,$149.04,$58.15
"4.5"" x 6.25""",17 pt. Cardstock Uncoated,Front Only,None,2 Business Days,$398.79,$146.13,$172.31,$198.50,$224.68,$250.87,$61.59,$266.59,$93.76,$321.28,$119.94
"4.5"" x 6.25""",17 pt. Cardstock Uncoated,Front Only,None,3 Business Days,$398.79,$146.13,$172.31,$198.50,$224.68,$250.87,$61.59,$266.59,$93.76,$321.28,$119.94
"4.5"" x 6.25""",17 pt. Cardstock Uncoated,Front and Back,None,2 Business Days,$537.83,$199.91,$238.05,$276.19,$314.32,$352.46,$76.53,$373.76,$123.64,$444.38,$161.77
"4.5"" x 6.25""",17 pt. Cardstock Uncoated,Front and Back,None,3 Business Days,$537.83,$199.91,$238.05,$276.19,$314.32,$352.46,$76.53,$373.76,$123.64,$444.38,$161.77
"5"" x 7""",14 pt. Cardstock Uncoated,Front Only,None,2 Business Days,$361.04,$53.31,$61.86,$70.41,$78.96,$87.51,$25.76,$104.60,$36.22,$190.08,$44.77
"5"" x 7""",14 pt. Cardstock Uncoated,Front Only,None,3 Business Days,$361.04,$53.31,$61.86,$70.41,$78.96,$87.51,$25.76,$104.60,$36.22,$190.08,$44.77
"5"" x 7""",14 pt. Cardstock Uncoated,Front and Back,None,2 Business Days,$515.94,$70.53,$82.90,$95.27,$107.64,$120.02,$30.54,$144.76,$45.78,$268.49,$58.15
"5"" x 7""",14 pt. Cardstock Uncoated,Front and Back,None,3 Business Days,$515.94,$70.53,$82.90,$95.27,$107.64,$120.02,$30.54,$144.76,$45.78,$268.49,$58.15
"5"" x 7""","14 pt. High Gloss (UV) Front, Uncoated Back",Front Only,None,2 Business Days,$187.25,$53.31,$61.86,$70.41,$78.96,$87.51,$23.90,$104.60,$35.04,$138.64,$44.77
"5"" x 7""","14 pt. High Gloss (UV) Front, Uncoated Back",Front Only,None,3 Business Days,$187.25,$53.31,$61.86,$70.41,$78.96,$87.51,$23.90,$104.60,$35.04,$138.64,$44.77
"5"" x 7""","14 pt. High Gloss (UV) Front, Uncoated Back",Front and Back,None,2 Business Days,$278.88,$70.53,$82.90,$95.27,$107.64,$120.02,$29.07,$144.76,$45.40,$211.95,$58.15
"5"" x 7""","14 pt. High Gloss (UV) Front, Uncoated Back",Front and Back,None,3 Business Days,$278.88,$70.53,$82.90,$95.27,$107.64,$120.02,$29.07,$144.76,$45.40,$211.95,$58.15
"5"" x 7""",17 pt. Cardstock Uncoated,Front Only,None,2 Business Days,$388.59,$135.93,$162.11,$188.30,$214.49,$240.67,$51.40,$256.39,$83.56,$311.08,$109.74
"5"" x 7""",17 pt. Cardstock Uncoated,Front Only,None,3 Business Days,$388.59,$135.93,$162.11,$188.30,$214.49,$240.67,$51.40,$256.39,$83.56,$311.08,$109.74
"5"" x 7""",17 pt. Cardstock Uncoated,Front and Back,None,2 Business Days,$527.63,$189.71,$227.85,$265.99,$304.12,$342.26,$66.34,$363.56,$113.44,$434.19,$151.57
"5"" x 7""",17 pt. Cardstock Uncoated,Front and Back,None,3 Business Days,$527.63,$189.71,$227.85,$265.99,$304.12,$342.26,$66.34,$363.56,$113.44,$434.19,$151.57
